Country,Region,Zone,ISO3,Admin2 Pcode,Admin1 Pcode,Events,date
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2020-04-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2020-04-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2020-04-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,0,2020-04-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2020-04-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2020-04-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2020-04-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2020-05-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2020-05-01
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,0,2020-05-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,1,2020-05-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,0,2020-05-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,0,2020-05-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2020-05-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2020-05-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,0,2020-05-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2020-05-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2020-05-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,1,2020-05-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2020-05-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2020-05-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,0,2020-05-01
Ethiopia,Oromia,East Shewa,ETH,ET0407,ET04,0,2020-05-01
Ethiopia,Oromia,Guji,ETH,ET0414,ET04,4,2020-05-01
Ethiopia,South West,Dawuro,ETH,ET1104,ET11,0,2020-05-01
Ethiopia,SNNP,Gamo,ETH,ET0710,ET07,0,2020-05-01
Ethiopia,South West,Kefa,ETH,ET1102,ET11,0,2020-05-01
Ethiopia,SNNP,Siltie,ETH,ET0720,ET07,0,2020-05-01
Ethiopia,Somali,Doolo,ETH,ET0507,ET05,0,2020-05-01
Ethiopia,Somali,Fafan,ETH,ET0502,ET05,0,2020-05-01
Ethiopia,Somali,Liban,ETH,ET0509,ET05,0,2020-05-01
Ethiopia,Tigray,Central Tigray,ETH,ET0102,ET01,0,2020-05-01
Ethiopia,Afar,Gabi-Zone 3,ETH,ET0203,ET02,0,2020-05-01
Ethiopia,Amhara,Central Gondar,ETH,ET0311,ET03,0,2020-05-01
Ethiopia,Benshangul/Gumuz,Metekel,ETH,ET0602,ET06,0,2020-05-01
Ethiopia,Oromia,Bale,ETH,ET0411,ET04,0,2020-05-01
Ethiopia,Oromia,Borena,ETH,ET0412,ET04,0,2020-05-01
Ethiopia,Oromia,East Hararge,ETH,ET0410,ET04,2,2020-05-01
Ethiopia,Oromia,West Hararge,ETH,ET0409,ET04,0,2020-05-01
Ethiopia,SNNP,Gofa,ETH,ET0715,ET07,0,2020-05-01
Ethiopia,South West,Mirab Omo,ETH,ET1105,ET11,0,2020-05-01
Ethiopia,SNNP,South Omo,ETH,ET0707,ET07,0,2020-05-01
Ethiopia,Somali,Afder,ETH,ET0508,ET05,1,2020-05-01
Ethiopia,Afar,Hari-Zone 5,ETH,ET0205,ET02,0,2020-05-01
Ethiopia,Amhara,Wag Hamra,ETH,ET0308,ET03,0,2020-05-01
Ethiopia,Dire Dawa,Dire Dawa urban,ETH,ET1501,ET15,0,2020-05-01
Ethiopia,Oromia,West Arsi,ETH,ET0417,ET04,0,2020-05-01
Ethiopia,SNNP,Burji,ETH,ET0722,ET07,0,2020-05-01
Ethiopia,SNNP,Hadiya,ETH,ET0702,ET07,0,2020-05-01
Ethiopia,SNNP,Welayta,ETH,ET0706,ET07,0,2020-05-01
Ethiopia,Somali,Jarar,ETH,ET0503,ET05,0,2020-05-01
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,0,2020-05-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2020-05-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2020-05-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,0,2020-05-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,2,2020-05-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2020-05-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,0,2020-05-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,0,2020-05-01
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,1,2020-05-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,0,2020-05-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,1,2020-05-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,0,2020-05-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,0,2020-05-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2020-05-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2020-05-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2020-05-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2020-05-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2020-05-01
Ethiopia,Somali,Erer,ETH,ET0504,ET05,0,2020-05-01
Ethiopia,Somali,Nogob,ETH,ET0510,ET05,0,2020-05-01
Ethiopia,Tigray,Eastern Tigray,ETH,ET0103,ET01,0,2020-05-01
Ethiopia,Amhara,North Gondar,ETH,ET0301,ET03,0,2020-05-01
Ethiopia,Amhara,North Wello,ETH,ET0303,ET03,1,2020-05-01
Ethiopia,Gambela,Nuwer,ETH,ET1201,ET12,0,2020-05-01
Ethiopia,Oromia,Ilu Aba Bora,ETH,ET0403,ET04,0,2020-05-01
Ethiopia,Oromia,Kellem Wollega,ETH,ET0418,ET04,0,2020-05-01
Ethiopia,Oromia,West Shewa,ETH,ET0405,ET04,1,2020-05-01
Ethiopia,Oromia,West Wellega,ETH,ET0401,ET04,5,2020-05-01
Ethiopia,SNNP,Yem Special,ETH,ET0724,ET07,0,2020-05-01
Ethiopia,Tigray,South Eastern Tigray,ETH,ET0106,ET01,0,2020-05-01
Ethiopia,Addis Ababa,Region 14,ETH,ET1401,ET14,0,2020-05-01
Ethiopia,Amhara,East Gojam,ETH,ET0306,ET03,0,2020-05-01
Ethiopia,Amhara,West Gojam,ETH,ET0307,ET03,0,2020-05-01
Ethiopia,Amhara,West Gondar,ETH,ET0312,ET03,1,2020-05-01
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2020-05-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2020-05-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,0,2020-05-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,0,2020-05-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,1,2020-05-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2020-05-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2020-05-01
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2020-05-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2020-05-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2020-05-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,1,2020-05-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2020-05-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2020-05-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2020-05-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2020-06-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2020-06-01
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,0,2020-06-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,0,2020-06-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,1,2020-06-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,0,2020-06-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2020-06-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2020-06-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,0,2020-06-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2020-06-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2020-06-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,0,2020-06-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2020-06-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2020-06-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,1,2020-06-01
Ethiopia,Oromia,East Shewa,ETH,ET0407,ET04,2,2020-06-01
Ethiopia,Oromia,Guji,ETH,ET0414,ET04,3,2020-06-01
Ethiopia,South West,Dawuro,ETH,ET1104,ET11,0,2020-06-01
Ethiopia,SNNP,Gamo,ETH,ET0710,ET07,0,2020-06-01
Ethiopia,South West,Kefa,ETH,ET1102,ET11,0,2020-06-01
Ethiopia,SNNP,Siltie,ETH,ET0720,ET07,0,2020-06-01
Ethiopia,Somali,Doolo,ETH,ET0507,ET05,0,2020-06-01
Ethiopia,Somali,Fafan,ETH,ET0502,ET05,0,2020-06-01
Ethiopia,Somali,Liban,ETH,ET0509,ET05,1,2020-06-01
Ethiopia,Tigray,Central Tigray,ETH,ET0102,ET01,0,2020-06-01
Ethiopia,Afar,Gabi-Zone 3,ETH,ET0203,ET02,0,2020-06-01
Ethiopia,Amhara,Central Gondar,ETH,ET0311,ET03,0,2020-06-01
Ethiopia,Benshangul/Gumuz,Metekel,ETH,ET0602,ET06,0,2020-06-01
Ethiopia,Oromia,Bale,ETH,ET0411,ET04,1,2020-06-01
Ethiopia,Oromia,Borena,ETH,ET0412,ET04,0,2020-06-01
Ethiopia,Oromia,East Hararge,ETH,ET0410,ET04,2,2020-06-01
Ethiopia,Oromia,West Hararge,ETH,ET0409,ET04,2,2020-06-01
Ethiopia,SNNP,Gofa,ETH,ET0715,ET07,0,2020-06-01
Ethiopia,South West,Mirab Omo,ETH,ET1105,ET11,0,2020-06-01
Ethiopia,SNNP,South Omo,ETH,ET0707,ET07,0,2020-06-01
Ethiopia,Somali,Afder,ETH,ET0508,ET05,0,2020-06-01
Ethiopia,Afar,Hari-Zone 5,ETH,ET0205,ET02,0,2020-06-01
Ethiopia,Amhara,Wag Hamra,ETH,ET0308,ET03,0,2020-06-01
Ethiopia,Dire Dawa,Dire Dawa urban,ETH,ET1501,ET15,0,2020-06-01
Ethiopia,Oromia,West Arsi,ETH,ET0417,ET04,2,2020-06-01
Ethiopia,SNNP,Burji,ETH,ET0722,ET07,0,2020-06-01
Ethiopia,SNNP,Hadiya,ETH,ET0702,ET07,0,2020-06-01
Ethiopia,SNNP,Welayta,ETH,ET0706,ET07,0,2020-06-01
Ethiopia,Somali,Jarar,ETH,ET0503,ET05,0,2020-06-01
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,0,2020-06-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2020-06-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2020-06-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,0,2020-06-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,0,2020-06-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2020-06-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,0,2020-06-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,0,2020-06-01
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,0,2020-06-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,0,2020-06-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,0,2020-06-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,2,2020-06-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,1,2020-06-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2020-06-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2020-06-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2020-06-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2020-06-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2020-06-01
Ethiopia,Somali,Erer,ETH,ET0504,ET05,0,2020-06-01
Ethiopia,Somali,Nogob,ETH,ET0510,ET05,0,2020-06-01
Ethiopia,Tigray,Eastern Tigray,ETH,ET0103,ET01,0,2020-06-01
Ethiopia,Amhara,North Gondar,ETH,ET0301,ET03,0,2020-06-01
Ethiopia,Amhara,North Wello,ETH,ET0303,ET03,0,2020-06-01
Ethiopia,Gambela,Nuwer,ETH,ET1201,ET12,0,2020-06-01
Ethiopia,Oromia,Ilu Aba Bora,ETH,ET0403,ET04,0,2020-06-01
Ethiopia,Oromia,Kellem Wollega,ETH,ET0418,ET04,0,2020-06-01
Ethiopia,Oromia,West Shewa,ETH,ET0405,ET04,2,2020-06-01
Ethiopia,Oromia,West Wellega,ETH,ET0401,ET04,2,2020-06-01
Ethiopia,SNNP,Yem Special,ETH,ET0724,ET07,0,2020-06-01
Ethiopia,Tigray,South Eastern Tigray,ETH,ET0106,ET01,0,2020-06-01
Ethiopia,Addis Ababa,Region 14,ETH,ET1401,ET14,2,2020-06-01
Ethiopia,Amhara,East Gojam,ETH,ET0306,ET03,0,2020-06-01
Ethiopia,Amhara,West Gojam,ETH,ET0307,ET03,0,2020-06-01
Ethiopia,Amhara,West Gondar,ETH,ET0312,ET03,0,2020-06-01
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2020-06-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2020-06-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,0,2020-06-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,0,2020-06-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,1,2020-06-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2020-06-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2020-06-01
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2020-06-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2020-06-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2020-06-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,0,2020-06-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2020-06-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2020-06-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2020-06-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2020-07-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2020-07-01
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,3,2020-07-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,0,2020-07-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,1,2020-07-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,0,2020-07-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2020-07-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2020-07-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,0,2020-07-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2020-07-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2020-07-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,0,2020-07-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2020-07-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2020-07-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,0,2020-07-01
Ethiopia,Oromia,East Shewa,ETH,ET0407,ET04,1,2020-07-01
Ethiopia,Oromia,Guji,ETH,ET0414,ET04,0,2020-07-01
Ethiopia,South West,Dawuro,ETH,ET1104,ET11,0,2020-07-01
Ethiopia,SNNP,Gamo,ETH,ET0710,ET07,0,2020-07-01
Ethiopia,South West,Kefa,ETH,ET1102,ET11,0,2020-07-01
Ethiopia,SNNP,Siltie,ETH,ET0720,ET07,0,2020-07-01
Ethiopia,Somali,Doolo,ETH,ET0507,ET05,0,2020-07-01
Ethiopia,Somali,Fafan,ETH,ET0502,ET05,0,2020-07-01
Ethiopia,Somali,Liban,ETH,ET0509,ET05,0,2020-07-01
Ethiopia,Tigray,Central Tigray,ETH,ET0102,ET01,0,2020-07-01
Ethiopia,Afar,Gabi-Zone 3,ETH,ET0203,ET02,0,2020-07-01
Ethiopia,Amhara,Central Gondar,ETH,ET0311,ET03,0,2020-07-01
Ethiopia,Benshangul/Gumuz,Metekel,ETH,ET0602,ET06,2,2020-07-01
Ethiopia,Oromia,Bale,ETH,ET0411,ET04,0,2020-07-01
Ethiopia,Oromia,Borena,ETH,ET0412,ET04,0,2020-07-01
Ethiopia,Oromia,East Hararge,ETH,ET0410,ET04,0,2020-07-01
Ethiopia,Oromia,West Hararge,ETH,ET0409,ET04,0,2020-07-01
Ethiopia,SNNP,Gofa,ETH,ET0715,ET07,0,2020-07-01
Ethiopia,South West,Mirab Omo,ETH,ET1105,ET11,0,2020-07-01
Ethiopia,SNNP,South Omo,ETH,ET0707,ET07,0,2020-07-01
Ethiopia,Somali,Afder,ETH,ET0508,ET05,0,2020-07-01
Ethiopia,Afar,Hari-Zone 5,ETH,ET0205,ET02,0,2020-07-01
Ethiopia,Amhara,Wag Hamra,ETH,ET0308,ET03,0,2020-07-01
Ethiopia,Dire Dawa,Dire Dawa urban,ETH,ET1501,ET15,0,2020-07-01
Ethiopia,Oromia,West Arsi,ETH,ET0417,ET04,1,2020-07-01
Ethiopia,SNNP,Burji,ETH,ET0722,ET07,0,2020-07-01
Ethiopia,SNNP,Hadiya,ETH,ET0702,ET07,0,2020-07-01
Ethiopia,SNNP,Welayta,ETH,ET0706,ET07,0,2020-07-01
Ethiopia,Somali,Jarar,ETH,ET0503,ET05,0,2020-07-01
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,0,2020-07-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2020-07-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2020-07-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,0,2020-07-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,0,2020-07-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2020-07-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,0,2020-07-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,0,2020-07-01
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,1,2020-07-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,0,2020-07-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,0,2020-07-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,0,2020-07-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,0,2020-07-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2020-07-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2020-07-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2020-07-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2020-07-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2020-07-01
Ethiopia,Somali,Erer,ETH,ET0504,ET05,0,2020-07-01
Ethiopia,Somali,Nogob,ETH,ET0510,ET05,0,2020-07-01
Ethiopia,Tigray,Eastern Tigray,ETH,ET0103,ET01,0,2020-07-01
Ethiopia,Amhara,North Gondar,ETH,ET0301,ET03,0,2020-07-01
Ethiopia,Amhara,North Wello,ETH,ET0303,ET03,0,2020-07-01
Ethiopia,Gambela,Nuwer,ETH,ET1201,ET12,0,2020-07-01
Ethiopia,Oromia,Ilu Aba Bora,ETH,ET0403,ET04,0,2020-07-01
Ethiopia,Oromia,Kellem Wollega,ETH,ET0418,ET04,0,2020-07-01
Ethiopia,Oromia,West Shewa,ETH,ET0405,ET04,1,2020-07-01
Ethiopia,Oromia,West Wellega,ETH,ET0401,ET04,0,2020-07-01
Ethiopia,SNNP,Yem Special,ETH,ET0724,ET07,0,2020-07-01
Ethiopia,Tigray,South Eastern Tigray,ETH,ET0106,ET01,0,2020-07-01
Ethiopia,Addis Ababa,Region 14,ETH,ET1401,ET14,1,2020-07-01
Ethiopia,Amhara,East Gojam,ETH,ET0306,ET03,0,2020-07-01
Ethiopia,Amhara,West Gojam,ETH,ET0307,ET03,0,2020-07-01
Ethiopia,Amhara,West Gondar,ETH,ET0312,ET03,0,2020-07-01
Ethiopia,Gambela,Itang Special woreda,ETH,ET1204,ET12,0,2020-07-01
Ethiopia,Oromia,Buno Bedele,ETH,ET0416,ET04,0,2020-07-01
Ethiopia,Oromia,Finfine Special,ETH,ET0420,ET04,1,2020-07-01
Ethiopia,Oromia,Horo Gudru Wellega,ETH,ET0419,ET04,0,2020-07-01
Ethiopia,Oromia,North Shewa,ETH,ET0406,ET04,2,2020-07-01
Ethiopia,SNNP,Alle,ETH,ET0712,ET07,0,2020-07-01
Ethiopia,SNNP,Derashe,ETH,ET0723,ET07,0,2020-07-01
Ethiopia,SNNP,Guraghe,ETH,ET0701,ET07,0,2020-07-01
Ethiopia,SNNP,Kembata Tibaro,ETH,ET0703,ET07,0,2020-07-01
Ethiopia,SNNP,Konso,ETH,ET0713,ET07,0,2020-07-01
Ethiopia,Somali,Shabelle,ETH,ET0506,ET05,1,2020-07-01
Ethiopia,Tigray,Mekelle Tigray,ETH,ET0107,ET01,0,2020-07-01
Ethiopia,Tigray,North Western Tigray,ETH,ET0101,ET01,0,2020-07-01
Ethiopia,Tigray,Southern Tigray,ETH,ET0104,ET01,0,2020-07-01
Ethiopia,Benshangul/Gumuz,Kemashi,ETH,ET0604,ET06,0,2020-08-01
Ethiopia,Gambela,Majang,ETH,ET1203,ET12,0,2020-08-01
Ethiopia,Oromia,Arsi,ETH,ET0408,ET04,0,2020-08-01
Ethiopia,Oromia,East Bale,ETH,ET0421,ET04,0,2020-08-01
Ethiopia,Oromia,East Wellega,ETH,ET0402,ET04,0,2020-08-01
Ethiopia,Sidama,Sidama,ETH,ET1600,ET16,0,2020-08-01
Ethiopia,SNNP,Amaro,ETH,ET0721,ET07,0,2020-08-01
Ethiopia,SNNP,Basketo,ETH,ET0716,ET07,0,2020-08-01
Ethiopia,South West,Bench Sheko,ETH,ET1103,ET11,0,2020-08-01
Ethiopia,SNNP,Gedeo,ETH,ET0705,ET07,0,2020-08-01
Ethiopia,South West,Sheka,ETH,ET1101,ET11,0,2020-08-01
Ethiopia,Somali,Siti,ETH,ET0501,ET05,0,2020-08-01
Ethiopia,Amhara,South Gondar,ETH,ET0302,ET03,0,2020-08-01
Ethiopia,Amhara,South Wello,ETH,ET0304,ET03,0,2020-08-01
Ethiopia,Benshangul/Gumuz,Asosa,ETH,ET0603,ET06,0,2020-08-01
Ethiopia,Oromia,East Shewa,ETH,ET0407,ET04,0,2020-08-01
Ethiopia,Oromia,Guji,ETH,ET0414,ET04,1,2020-08-01
Ethiopia,South West,Dawuro,ETH,ET1104,ET11,0,2020-08-01
Ethiopia,SNNP,Gamo,ETH,ET0710,ET07,0,2020-08-01
Ethiopia,South West,Kefa,ETH,ET1102,ET11,0,2020-08-01
Ethiopia,SNNP,Siltie,ETH,ET0720,ET07,0,2020-08-01
Ethiopia,Somali,Doolo,ETH,ET0507,ET05,0,2020-08-01
Ethiopia,Somali,Fafan,ETH,ET0502,ET05,0,2020-08-01
Ethiopia,Somali,Liban,ETH,ET0509,ET05,1,2020-08-01
Ethiopia,Tigray,Central Tigray,ETH,ET0102,ET01,0,2020-08-01
Ethiopia,Afar,Gabi-Zone 3,ETH,ET0203,ET02,0,2020-08-01
Ethiopia,Amhara,Central Gondar,ETH,ET0311,ET03,0,2020-08-01
Ethiopia,Benshangul/Gumuz,Metekel,ETH,ET0602,ET06,4,2020-08-01
Ethiopia,Oromia,Bale,ETH,ET0411,ET04,0,2020-08-01
Ethiopia,Oromia,Borena,ETH,ET0412,ET04,0,2020-08-01
Ethiopia,Oromia,East Hararge,ETH,ET0410,ET04,4,2020-08-01
Ethiopia,Oromia,West Hararge,ETH,ET0409,ET04,4,2020-08-01
Ethiopia,SNNP,Gofa,ETH,ET0715,ET07,0,2020-08-01
Ethiopia,South West,Mirab Omo,ETH,ET1105,ET11,0,2020-08-01
Ethiopia,SNNP,South Omo,ETH,ET0707,ET07,0,2020-08-01
Ethiopia,Somali,Afder,ETH,ET0508,ET05,0,2020-08-01
Ethiopia,Afar,Hari-Zone 5,ETH,ET0205,ET02,0,2020-08-01
Ethiopia,Amhara,Wag Hamra,ETH,ET0308,ET03,0,2020-08-01
Ethiopia,Dire Dawa,Dire Dawa urban,ETH,ET1501,ET15,2,2020-08-01
Ethiopia,Oromia,West Arsi,ETH,ET0417,ET04,4,2020-08-01
Ethiopia,SNNP,Burji,ETH,ET0722,ET07,0,2020-08-01
Ethiopia,SNNP,Hadiya,ETH,ET0702,ET07,0,2020-08-01
Ethiopia,SNNP,Welayta,ETH,ET0706,ET07,0,2020-08-01
Ethiopia,Somali,Jarar,ETH,ET0503,ET05,1,2020-08-01
Ethiopia,Somali,Korahe,ETH,ET0505,ET05,0,2020-08-01
Ethiopia,Tigray,Western Tigray,ETH,ET0105,ET01,0,2020-08-01
Ethiopia,Afar,Fanti-Zone 4,ETH,ET0204,ET02,0,2020-08-01
Ethiopia,Afar,Kilbati-Zone 2,ETH,ET0202,ET02,0,2020-08-01
Ethiopia,Amhara,Awi,ETH,ET0309,ET03,0,2020-08-01
Ethiopia,Benshangul/Gumuz,Mao Komo Special,ETH,ET0605,ET06,0,2020-08-01
Ethiopia,Dire Dawa,Dire Dawa rural,ETH,ET1502,ET15,0,2020-08-01
Ethiopia,Harari,Harari,ETH,ET1301,ET13,1,2020-08-01
Ethiopia,Oromia,Jimma,ETH,ET0404,ET04,0,2020-08-01
Ethiopia,Afar,Awsi-Zone 1,ETH,ET0201,ET02,0,2020-08-01
Ethiopia,Amhara,North Shewa,ETH,ET0305,ET03,0,2020-08-01
Ethiopia,Amhara,Oromia,ETH,ET0310,ET03,0,2020-08-01
Ethiopia,Gambela,Agnewak,ETH,ET1202,ET12,0,2020-08-01
Ethiopia,Oromia,South West Shewa,ETH,ET0413,ET04,0,2020-08-01
Ethiopia,Oromia,West Guji,ETH,ET0415,ET04,0,2020-08-01
Ethiopia,SNNP,Halaba,ETH,ET0714,ET07,0,2020-08-01
Ethiopia,South West,Konta Special,ETH,ET1106,ET11,0,2020-08-01
Ethiopia,Somali,Daawa,ETH,ET0511,ET05,0,2020-08-01
